dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,University of Illinois Restored Native Prairie,US-UiD,-88.1985,40.0646,NA,NA,5.209438656127979,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Sorghum-Soy,US-UiE,-88.2033,40.0629,NA,NA,4.980912562807282,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Miscanthus 2,US-UiF,-88.2015,40.0665,NA,NA,6.501338344844509,10.739485740661621,NA,0,NA
Ameriflux,University of Illinois Maize-Soy 2,US-UiG,-88.2009,40.0629,NA,NA,4.796803524692076,10.739485740661621,NA,0,NA
Ameriflux,ULM Flux Tower,US-ULM,-91.9743,32.457,NA,NA,170.6033921711271,48.969112396240234,NA,59.30747102324597,NA
Ameriflux,Douglas Lake,US-UM3,-84.6707,45.568600000000004,NA,NA,183.5605941475524,84.12987518310547,NA,60.42409688008733,NA
Ameriflux,Univ. of Mich. Biological Station,US-UMB,-84.7138,45.5598,NA,NA,191.6470164310348,84.12987518310547,NA,62.01295471191408,NA
Ameriflux,UMBS Disturbance,US-UMd,-84.6975,45.5625,NA,NA,180.8357712309218,84.12987518310547,NA,62.01295471191406,NA
Ameriflux,UFLUX Bonneville Salt Flats,US-UTB,-113.8299,40.7848,0,0,0,8.428143501281738,NA,0,0
Ameriflux,UFLUX Dugout Ranch,US-UTD,-109.5952,38.1038,1.9802668069618705,0.2057947808382982,5.275887481930511,9.397926330566406,5.611305265612255,8.661753654479984,12.882374200036269
Ameriflux,UFLUX Matheson,US-UTM,-109.5775,38.5879,2.160889984801062,0.01276541979284454,14.565660783159322,8.444945335388184,36.60075935099969,7.443256378173829,6.550468444824219
