product,agb_Mg_ha,year,IGBP_Class,Longitude,Latitude,IGBP_Name,ffp_radius
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-120.7239209,36.86653811,Evergreen Broadleaf Forest,1
chopping,-666.9091187,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-121.4163669,40.20283571,Evergreen Broadleaf Forest,1
chopping,-901.999939,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-119.1501799,34.49246112,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-105.3821942,33.65613854,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-103.5386691,32.53204905,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-114.1501799,34.57339556,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-106.9919065,33.22448818,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-106.8390288,32.87377226,Evergreen Broadleaf Forest,1
chopping,-909,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-117.9541367,33.73707298,Evergreen Broadleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-118.0980216,35.50863801,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-110.5080935,32.98168485,Evergreen Broadleaf Forest,1
chopping,-896.7272949,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-120.6519784,41.09311459,Evergreen Broadleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-120.4271583,40.64347879,Evergreen Broadleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-120.6519784,41.83051729,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-113.5926259,36.41690232,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-105.1124101,32.92772855,Evergreen Broadleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-110.3642086,34.47447569,Evergreen Broadleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-114.4739209,34.10577433,Evergreen Broadleaf Forest,1
chopping,96.99999237,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-122.0998201,37.35214477,Evergreen Broadleaf Forest,1
chopping,-909,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,2,-119.1771583,34.43850482,Evergreen Broadleaf Forest,1
